text,label
"Failed login attempt for user 'admin'",authentication_failure
"Invalid credentials provided for user 'devops'",authentication_failure
"Authentication failed: token invalid for 'admin'",authentication_failure
"MFA verification failed for 'john.doe'",authentication_failure
"Kerberos authentication failed for 'root'",authentication_failure
"SSO login denied for 'qa-user'",authentication_failure
"User 'service' blocked after failed attempts",authentication_failure
"Authentication failed: token invalid for 'service'",authentication_failure
"Failed login attempt for user 'backup'",authentication_failure
"Invalid credentials provided for user 'ubuntu'",authentication_failure
"User 'analytics' successfully authenticated",authentication_success
"Authentication succeeded for 'qa-test'",authentication_success
"Token validated for 'root'",authentication_success
"Accepted password for 'deploy-user'",authentication_success
"SSO login successful for 'alice'",authentication_success
"User 'admin' successfully authenticated",authentication_success
"Authentication succeeded for 'service-account'",authentication_success
"Login success: session established",authentication_success
"MFA challenge passed for 'john.doe'",authentication_success
"API token successfully verified",authentication_success
"API error 500 for endpoint /v1/process",api_error
"Unexpected API exception at /v1/items",api_error
"Malformed API request to /v3/report",api_error
"Gateway returned 502 for /v1/update",api_error
"API error: conflict on /v2/config",api_error
"API responded with 409 conflict on /v2/sync",api_error
"Unexpected API exception at /v1/auth",api_error
"API timeout contacting downstream compute service",api_error
"GET /v1/search crashed with server error",api_error
"POST /auth/token returned error: signature failed",api_error
"Incoming request: GET /v1/metrics",api_request
"POST /v2/users initiated",api_request
"PUT /assets/update started",api_request
"DELETE /sessions/12 processed",api_request
"PATCH /services/config received",api_request
"OPTIONS /v1/auth from client",api_request
"HEAD /api/status check executed",api_request
"GET /v3/model/active",api_request
"POST /auth/refresh initiated",api_request
"GET /v1/ping from client",api_request
"Configuration error: missing key 'cluster.id'",configuration_error
"Invalid YAML syntax in 'config.yml'",configuration_error
"Malformed JSON in 'service.json'",configuration_error
"Unknown configuration parameter 'modeX'",configuration_error
"Configuration mismatch detected in 'deployment.yml'",configuration_error
"Failed to load configuration: syntax error in json",configuration_error
"Invalid environment variable in startup config",configuration_error
"Incorrect permissions on configuration directory",configuration_error
"Unsupported TLS version in config",configuration_error
"Error parsing config for 'auth-service'",configuration_error
"Database connection refused on 10.0.0.5",database_error
"SQL error: relation 'users' does not exist",database_error
"Transaction deadlock detected in 'orders'",database_error
"Query timeout on 'customer_table'",database_error
"Database unreachable: /db/users",database_error
"MySQL server refused connection",database_error
"Database migration failed: checksum mismatch",database_error
"Redis connection dropped unexpectedly",database_error
"MongoDB write failed: duplicate key",database_error
"PostgreSQL query failed: syntax error",database_error
"Filesystem error: disk quota exceeded at '/var/log'",filesystem_error
"File corruption detected at '/etc/config.xml'",filesystem_error
"Unable to write to '/tmp/cache.tmp'",filesystem_error
"Permission denied for '/etc/hosts'",filesystem_error
"Symbolic link loop detected at '/opt/data'",filesystem_error
"File upload failure: corrupted chunk",filesystem_error
"Filesystem inconsistency detected on /dev/sda2",filesystem_error
"Failed to delete /logs/archive.tar.gz",filesystem_error
"File descriptor leak detected in worker",filesystem_error
"Directory /opt/storage not accessible",filesystem_error
"Network unreachable while contacting 10.0.0.1",network_error
"DNS resolution failed for backend-service",network_error
"Packet loss exceeded threshold on eth0",network_error
"High latency detected in internal network",network_error
"SSL handshake failed contacting billing-service",network_error
"Route to gateway 192.168.1.1 unavailable",network_error
"Connection reset during TLS handshake",network_error
"Network timeout fetching remote metadata",network_error
"TCP connection aborted unexpectedly",network_error
"Network congestion detected across nodes",network_error
"Out of memory: process 'worker-1' killed",resource_exhaustion
"Thread pool exhausted in 'auth-service'",resource_exhaustion
"System memory critically low in 'scheduler'",resource_exhaustion
"Too many open file handles in 'daemon'",resource_exhaustion
"CPU starvation detected in 'analytics-node'",resource_exhaustion
"Cache eviction storm triggered in cache-service",resource_exhaustion
"Worker process starved for CPU time",resource_exhaustion
"Disk quota exceeded for user backup",resource_exhaustion
"Memory allocation failure in compute unit",resource_exhaustion
"System load average exceeded safe threshold",resource_exhaustion
